temperature_c,pressure_atm,catalyst_type_index,flow_rate_lph,reaction_yield_pct
94.7,3.0,4,51.7,30.57
174.5,8.0,1,30.9,69.68
61.7,1.3,1,136.9,42.48
72.9,3.2,4,74.8,32.93
174.3,2.2,3,175.1,55.47
184.5,7.6,1,94.2,62.48
69.7,6.1,3,21.5,52.41
154.9,6.6,3,91.2,66.13
161.1,2.7,3,21.0,45.86
135.4,1.8,3,16.8,35.28
177.2,1.8,2,84.8,47.42
74.7,3.7,1,159.5,51.74
154.2,1.8,4,156.4,42.51
186.3,2.7,1,90.0,51.93
198.3,4.9,4,32.3,56.96
143.5,5.8,2,47.2,72.38
169.0,4.7,2,76.0,59.91
119.3,1.8,4,31.0,37.14
151.6,5.5,3,78.1,60.43
175.6,8.3,4,196.5,87.41
147.5,4.0,1,76.5,43.14
62.9,3.0,3,97.6,35.69
65.6,6.3,2,33.7,48.64
150.0,2.0,4,173.3,47.64
108.7,7.8,3,113.5,66.96
